Id	days	survival	SL	Weight
Carp_Off308	30	1	70	13.6	
Carp_Off309	30	1	74	16.5	
Carp_Off31	12	0	71	13.4	
Carp_Off310	12	0	72	13.6	
Carp_Off311	30	1	72	15.1	
Carp_Off312	22	0	72	14.2	
Carp_Off313	10	0	77	17.5	
Carp_Off314	12	0	72	14.3	
Carp_Off315	30	1	75	16.6	
Carp_Off316	30	1	70	13.7	
Carp_Off317	11	0	65	12.4	
Carp_Off318	15	0	77	17.7	
Carp_Off319	30	1	72	13.4	
Carp_Off32	30	1	81	14.8	
Carp_Off320	11	0	63	9.6	
Carp_Off321	30	1	69	12.6	
Carp_Off322	13	0	66	11.2	
Carp_Off323	23	0	77	15.7	
Carp_Off324	9	0	65	11.5	
Carp_Off325	17	0	72	13.6	
Carp_Off327	30	1	67	12.1	
Carp_Off329	4	0	75	16.4	
Carp_Off33	11	0	74	14	
Carp_Off330	17	0	79	18	
Carp_Off331	30	1	83	21.4	
Carp_Off332	30	1	68	11.1	
Carp_Off333	30	1	72	13.9	
Carp_Off334	18	0	71	17.1	
Carp_Off335	30	1	82	19.5	
Carp_Off336	8	0	77	17.7	
Carp_Off337	14	0	80	18.7	
Carp_Off338	30	1	73	14	
Carp_Off339	14	0	75	16.4	
Carp_Off340	16	0	72	14.3	
Carp_Off341	30	1	80	20.1	
Carp_Off342	7	0	65	11.2	
Carp_Off343	4	0	65	10.8	
Carp_Off344	9	0	80	17.8	
Carp_Off345	11	0	68	13.8	
Carp_Off346	8	0	74	16	
Carp_Off348	13	0	82	23.2	
Carp_Off349	30	1	68	13.6	
Carp_Off35	11	0	76	14.6	
Carp_Off350	30	1	79	18.2	
Carp_Off351	30	1	82	18.3	
Carp_Off352	24	0	81	17.7	
Carp_Off353	30	1	74	16.2	4
Carp_Off354	11	0	72	13.4	
Carp_Off356	30	1	70	13.3	
Carp_Off357	17	0	76	15.4	
Carp_Off358	30	1	81	19.1	
Carp_Off359	30	1	72	14.4	
Carp_Off36	7	0	74	14.1	
Carp_Off360	17	0	73	13.9	
Carp_Off361	14	0	73	16.5	
Carp_Off362	10	0	76	13.5	
Carp_Off363	10	0	71	14.6	
Carp_Off366	30	1	72	15.1	
Carp_Off367	16	0	71	14.4	
Carp_Off37	30	1	77	15.9	
Carp_Off370	8	0	70	14.2	
Carp_Off371	30	1	78	15.3	
Carp_Off372	14	0	75	14.6	
Carp_Off374	14	0	70	12.4	
Carp_Off383	30	1	73	15.1	
Carp_Off385	5	0	84	22.1	
Carp_Off388	30	1	81	21.6	
Carp_Off390	30	1	74	15	
Carp_Off392	30	1	76	17	
Carp_Off395	14	0	70	14	
Carp_Off4	10	0	91	26.5	
Carp_Off40	23	0	77	16	
Carp_Off400	11	0	80	16.8	
Carp_Off402	13	0	73	15.3	
Carp_Off405	12	0	76	15.3	
Carp_Off406	13	0	83	18.9	
Carp_Off41	9	0	77	16.7	
Carp_Off410	30	1	79	14.7	
Carp_Off411	22	0	71	15.2	
Carp_Off412	18	0	82	17.8	
Carp_Off416	14	0	75	15.1	
Carp_Off417	8	0	67	10.8	
Carp_Off418	19	0	82	19	
Carp_Off42	10	0	74	14.3	
Carp_Off420	30	1	85	22.5	
Carp_Off422	3	0	80	21.1	
Carp_Off423	30	1	92	25.5	
Carp_Off424	30	1	74	14	
Carp_Off425	13	0	72	13.1	
Carp_Off428	30	1	74	14.4	
Carp_Off429	30	1	90	25.2	
Carp_Off43	14	0	76	16.7	
Carp_Off430	30	1	80	16.3	
Carp_Off431	15	0	86	22.1	
Carp_Off432	12	0	78	15.6	
Carp_Off433	10	0	85	20	
Carp_Off434	17	0	85	19.4	
Carp_Off435	9	0	72	13.4	
Carp_Off436	30	1	85	18.3	
Carp_Off437	9	0	85	21.4	
Carp_Off438	8	0	72	13.1	
Carp_Off439	9	0	70	12.6	
Carp_Off440	10	0	74	15.1	
Carp_Off441	11	0	75	14.4	
Carp_Off442	30	1	89	23.2	
Carp_Off443	30	1	94	25.8	
Carp_Off444	12	0	70	13.5	
Carp_Off446	30	1	65	10.1	
Carp_Off447	30	1	75	14.2	
Carp_Off448	14	0	78	16.9	
Carp_Off449	30	1	77	14.4	
Carp_Off45	19	0	68	10.6	
Carp_Off450	30	1	72	14.9	
Carp_Off451	7	0	82	18.3	
Carp_Off452	12	0	72	12.9	
Carp_Off455	13	0	77	16.4	
Carp_Off456	14	0	75	15.4	
Carp_Off458	10	0	77	14.7	
Carp_Off459	30	1	89	23.7	
Carp_Off46	30	1	71	13.1	
Carp_Off461	10	0	76	13.8	
Carp_Off462	30	1	74	15.4	
Carp_Off463	30	1	72	11.8	
Carp_Off464	13	0	73	13.2	
Carp_Off465	30	1	77	15	
Carp_Off466	30	1	81	17.9	
Carp_Off467	5	0	76	14.8	
Carp_Off468	30	1	74	13.8	
Carp_Off469	13	0	70	11.5	
Carp_Off47	30	1	71	11.1	
Carp_Off471	8	0	80	15.1	
Carp_Off472	4	0	60	8.7	
Carp_Off473	30	1	70	13.5	
Carp_Off474	10	0	73	13.7	
Carp_Off475	14	0	81	16	
Carp_Off476	30	1	85	21	
Carp_Off477	3	0	74	14.1	
Carp_Off478	12	0	80	18.6	
Carp_Off479	19	0	83	18.6	
Carp_Off48	30	1	68	10.5	
Carp_Off481	12	0	88	22.1	
Carp_Off482	11	0	72	14.6	
Carp_Off483	23	0	74	14.6	
Carp_Off484	13	0	89	25.1	
Carp_Off485	30	1	86	20.4	
Carp_Off487	15	0	91	25.6	
Carp_Off488	13	0	76	14.8	
Carp_Off49	30	1	72	11.3	
Carp_Off490	30	1	79	17.2	
Carp_Off491	30	1	78	17.4	
Carp_Off492	30	1	81	17.7	
Carp_Off493	12	0	87	20	
Carp_Off494	30	1	81	17.2	
Carp_Off495	7	0	78	14.5	
Carp_Off496	6	0	92	23.2	
Carp_Off497	12	0	85	19.9	
Carp_Off5	9	0	77	14.7	
Carp_Off50	13	0	95	26	
Carp_Off500	13	0	91	23.1	
Carp_Off501	15	0	69	14.3	
Carp_Off502	10	0	73	17.5	
Carp_Off503	30	1	77	17.2	
Carp_Off505	30	1	103	35.2	
Carp_Off506	30	1	72	16.4	
Carp_Off508	9	0	70	16.3	
Carp_Off509	16	0	77	17.9	
Carp_Off51	30	1	84	19.8	
Carp_Off510	30	1	78	15.3	
Carp_Off511	11	0	67	12.3	
Carp_Off512	30	1	83	20.8	
Carp_Off513	30	1	67	12.1	
Carp_Off514	30	1	78	17.3	
Carp_Off515	30	1	90	26.9	
Carp_Off517	14	0	69	12.9	
Carp_Off52	30	1	82	18.6	
Carp_Off520	12	0	73	16.1	
Carp_Off523	13	0	71	15.7	
Carp_Off524	13	0	92	26.6	
Carp_Off525	11	0	72	13.6	
Carp_Off526	11	0	75	14.5	
Carp_Off527	12	0	82	21.6	
Carp_Off528	11	0	69	12	
Carp_Off529	7	0	92	25.6	
Carp_Off53	30	1	78	16.7	
Carp_Off531	30	1	80	17.4	
Carp_Off532	6	0	68	12.6	
Carp_Off534	30	1	95	29.3	
Carp_Off538	30	1	74	17	
Carp_Off539	15	0	75	14.7	
Carp_Off54	10	0	80	18.5	
Carp_Off540	30	1	79	16.8	
Carp_Off542	13	0	62	10.1	
Carp_Off543	15	0	86	20.8	
Carp_Off544	19	0	71	14.4	
Carp_Off545	18	0	69	13.8	
Carp_Off546	12	0	76	16.8	
Carp_Off547	10	0	72	12.5	
Carp_Off548	10	0	78	16.8	
Carp_Off549	10	0	71	12.6	
Carp_Off55	30	1	84	19.8	
Carp_Off550	13	0	90	24.5	
Carp_Off551	10	0	73	15.9	
Carp_Off552	15	0	92	26	
Carp_Off553	30	1	65	10.5	
Carp_Off554	30	1	74	14.6	
Carp_Off555	30	1	81	16.3	
Carp_Off556	9	0	77	16.1	
Carp_Off557	11	0	79	17.1	
Carp_Off559	11	0	84	20.7	
Carp_Off560	30	1	79	15.1	
Carp_Off561	9	0	75	13.6	
Carp_Off562	12	0	78	17	
Carp_Off564	10	0	81	16.3	
Carp_Off565	30	1	80	16.3	
Carp_Off566	30	1	69	12.5	
Carp_Off567	14	0	69	13.4	
Carp_Off568	10	0	68	11.8	
Carp_Off57	30	1	92	23.8	
Carp_Off570	12	0	74	14.1	
Carp_Off572	30	1	74	14.5	
Carp_Off573	30	1	72	13.1	
Carp_Off574	17	0	74	14.3	
Carp_Off575	14	0	63	10.3	
Carp_Off576	30	1	84	20.7	
Carp_Off578	30	1	116	51.8	
Carp_Off579	30	1	80	18.4	
Carp_Off58	30	1	79	16.7	
Carp_Off580	13	0	79	19.2	
Carp_Off581	30	1	84	20.5	
Carp_Off582	30	1	81	16.3	
Carp_Off583	30	1	81	18.2	
Carp_Off584	13	0	87	22.8	
Carp_Off585	12	0	86	22.3	
Carp_Off586	9	0	74	15.7	
Carp_Off587	13	0	85	20.1	
Carp_Off588	13	0	101	34.5	
Carp_Off589	30	1	72	16.7	
Carp_Off59	16	0	87	22.8	
Carp_Off590	13	0	80	17.6	
Carp_Off591	12	0	73	15.6	
Carp_Off592	30	1	83	20.8	
Carp_Off593	10	0	83	17.4	
Carp_Off594	10	0	83	19.1	
Carp_Off595	9	0	69	11	
Carp_Off596	13	0	82	17.8	
Carp_Off597	13	0	78	17.3	
Carp_Off598	9	0	80	18.7	
Carp_Off599	10	0	81	19.9	
Carp_Off60	15	0	78	16.1	
Carp_Off600	30	1	73	14.1	
Carp_Off601	30	1	71	14.2	
Carp_Off602	12	0	72	12.5	
Carp_Off603	12	0	73	14.2	
Carp_Off604	30	1	103	32.5	
Carp_Off605	30	1	80	18.5	
Carp_Off606	10	0	79	19.4	
Carp_Off607	30	1	75	15.9	
Carp_Off608	11	0	80	15.7	
Carp_Off609	30	1	95	25.8	
Carp_Off61	30	1	80	18.6	
Carp_Off610	13	0	93	26.9	
Carp_Off611	30	1	83	20.4	
Carp_Off612	30	1	88	22	
Carp_Off613	18	0	97	29.9	
Carp_Off615	12	0	83	20.3	
Carp_Off616	10	0	83	19.7	
Carp_Off617	9	0	80	18.7	
Carp_Off618	6	0	94	25.8	
Carp_Off619	30	1	85	19.6	
Carp_Off62	15	0	82	19.5	
Carp_Off620	11	0	78	17.3	
Carp_Off621	18	0	83	20.6	
Carp_Off622	30	1	77	15	
Carp_Off624	10	0	86	20.7	
Carp_Off625	30	1	83	18.2	
Carp_Off626	14	0	78	15.5	
Carp_Off627	6	0	72	13.2	
Carp_Off629	17	0	82	18	
Carp_Off63	30	1	83	20.2	
Carp_Off631	30	1	73	13.6	
Carp_Off632	10	0	79	18.3	
Carp_Off633	13	0	77	14.8	
Carp_Off634	30	1	74	13.7	
Carp_Off635	9	0	72	13	
Carp_Off636	13	0	72	13.1	
Carp_Off637	30	1	74	15.1	
Carp_Off64	11	0	81	20.5	
Carp_Off640	18	0	71	12.1	
Carp_Off641	8	0	68	11.7	
Carp_Off642	10	0	77	15.8	
Carp_Off643	10	0	77	14.3	
Carp_Off647	30	1	74	13.4	
Carp_Off649	30	1	75	13.9	
Carp_Off65	11	0	78	15.8	
Carp_Off651	8	0	87	21.2	
Carp_Off654	18	0	78	15.4	
Carp_Off655	11	0	68	10.3	
Carp_Off656	13	0	87	23.5	
Carp_Off658	30	1	75	13.3	
Carp_Off659	10	0	71	12.2	
Carp_Off66	10	0	79	17.9	
Carp_Off660	16	0	81	19.4	
Carp_Off662	5	0	75	13.7	
Carp_Off664	17	0	74	13.7	
Carp_Off665	10	0	71	12.2	
Carp_Off668	10	0	74	13.6	
Carp_Off669	10	0	91	23.9	
Carp_Off67	13	0	75	16	
Carp_Off671	9	0	87	23	
Carp_Off672	5	0	93	27.1	
Carp_Off673	12	0	84	19.4	
Carp_Off674	30	1	76	15.5	
Carp_Off676	13	0	82	17.4	
Carp_Off677	30	1	77	14.6	
Carp_Off678	21	0	76	15.6	
Carp_Off679	30	1	75	15.9	
Carp_Off681	18	0	76	14.8	
Carp_Off682	3	0	82	18.4	
Carp_Off683	13	0	76	14.6	
Carp_Off684	7	0	78	16.2	
Carp_Off685	18	0	92	25	
Carp_Off686	12	0	89	22.7	
Carp_Off688	7	0	81	17.4	
Carp_Off689	30	1	83	19.4	
Carp_Off690	30	1	80	16.6	
Carp_Off691	30	1	76	14.8	
Carp_Off692	16	0	68	12.3	
Carp_Off693	30	1	78	17.2	
Carp_Off694	10	0	76	16	
Carp_Off695	19	0	78	17.9	
Carp_Off696	30	1	78	16.5	
Carp_Off697	14	0	78	15.6	
Carp_Off698	30	1	72	13.4	
Carp_Off699	30	1	78	15.5	
Carp_Off7	10	0	82	18.5	
Carp_Off70	17	0	77	15.8	
Carp_Off700	30	1	76	15.5	
Carp_Off701	30	1	82	17.6	
Carp_Off702	30	1	74	14	
Carp_Off703	30	1	90	25.7	
Carp_Off705	13	0	81	17.5	
Carp_Off707	21	0	78	17.5	
Carp_Off708	18	0	82	19.5	
Carp_Off709	30	1	79	18.2	
Carp_Off71	16	0	78	14.7	
Carp_Off710	20	0	75	14.3	
Carp_Off711	12	0	94	28.3	
Carp_Off712	11	0	77	18.7	
Carp_Off713	12	0	80	16.2	
Carp_Off715	30	1	72	13.6	
Carp_Off717	12	0	71	14.9	
Carp_Off718	12	0	80	18	
Carp_Off719	13	0	81	19.9	
Carp_Off72	30	1	81	18.5	
Carp_Off720	8	0	76	17.8	
Carp_Off721	11	0	75	15.3	
Carp_Off722	12	0	71	13.6	
Carp_Off723	30	1	83	18.7	
Carp_Off724	19	0	75	14.3	
Carp_Off725	30	1	81	19.1	
Carp_Off727	7	0	82	18.6	
Carp_Off728	10	0	74	15.6	
Carp_Off729	13	0	73	12.9	
Carp_Off73	30	1	81	17	
Carp_Off730	10	0	77	14.9	
Carp_Off731	30	1	75	15.2	
Carp_Off732	30	1	85	19.9	
Carp_Off733	30	1	87	21.3	
Carp_Off734	30	1	74	14.7	
Carp_Off735	30	1	69	12.3	
Carp_Off736	30	1	82	18.8	
Carp_Off737	19	0	78	17.6	
Carp_Off738	14	0	76	14.9	
Carp_Off739	30	1	80	18.3	
Carp_Off74	12	0	72	13.9	
Carp_Off740	11	0	65	11.6	
Carp_Off742	30	1	68	11.5	
Carp_Off743	30	1	78	15.8	
Carp_Off744	13	0	71	12.9	
Carp_Off746	11	0	77	17	
Carp_Off747	13	0	69	12	
Carp_Off748	19	0	74	13.8	
Carp_Off749	8	0	75	15.9	
Carp_Off75	30	1	90	23.3	
Carp_Off750	30	1	74	14	
Carp_Off751	30	1	73	13.9	
Carp_Off752	30	1	70	12.7	
Carp_Off753	16	0	80	18.5	
Carp_Off754	7	0	89	28.1	
Carp_Off755	7	0	74	14	
Carp_Off757	13	0	78	15.2	
Carp_Off759	30	1	81	20.1	
Carp_Off761	30	1	76	14.8	
Carp_Off763	30	1	73	14.3	
Carp_Off766	30	1	72	13.5	
Carp_Off768	30	1	72	14.2	
Carp_Off77	30	1	74	14	
Carp_Off770	30	1	79	17.5	
Carp_Off774	14	0	84	17.2	
Carp_Off779	30	1	77	15.6	
Carp_Off78	9	0	78	17.6	
Carp_Off780	30	1	87	22.6	
Carp_Off787	10	0	72	13.6	
Carp_Off79	10	0	84	18	
Carp_Off791	10	0	73	14.3	
Carp_Off793	13	0	76	15	
Carp_Off796	9	0	79	17.2	
Carp_Off798	11	0	73	13.6	
Carp_Off8	8	0	91	24.6	
Carp_Off80	4	0	84	18.3	
Carp_Off800	11	0	76	16.3	
Carp_Off801	11	0	76	16.1	
Carp_Off804	14	0	78	16.8	
Carp_Off806	15	0	66	10.7	
Carp_Off807	9	0	78	16.8	
Carp_Off808	12	0	90	26.4	
Carp_Off81	11	0	84	19.4	
Carp_Off814	17	0	87	19.7	
Carp_Off815	11	0	85	19	
Carp_Off817	13	0	75	14.2	
Carp_Off819	10	0	68	11.4	
Carp_Off82	13	0	85	20.5	
Carp_Off820	30	1	80	16.8	
Carp_Off821	12	0	57	7	
Carp_Off823	10	0	73	14.6	
Carp_Off824	30	1	80	15.5	
Carp_Off825	18	0	75	14.8	
Carp_Off826	12	0	85	21.2	
Carp_Off827	18	0	73	14.2	
Carp_Off828	30	1	89	21.8	
Carp_Off83	18	0	77	16.5	
Carp_Off830	9	0	71	13.7	
Carp_Off831	30	1	83	18.8	
Carp_Off832	8	0	72	13.2	
Carp_Off833	14	0	78	16.1	
Carp_Off835	17	0	82	17.2	
Carp_Off836	9	0	76	13.7	
Carp_Off837	14	0	73	13.8	
Carp_Off838	6	0	72	13.5	
Carp_Off84	30	1	80	17.7	
Carp_Off840	30	1	76	14.7	
Carp_Off841	6	0	82	18	
Carp_Off843	8	0	78	16.9	
Carp_Off845	30	1	73	13.7	
Carp_Off846	15	0	82	18.4	
Carp_Off848	30	1	76	14.1	
Carp_Off85	10	0	85	24.8	
Carp_Off850	12	0	74	14	
Carp_Off856	11	0	75	15.5	
Carp_Off858	13	0	77	14.7	
Carp_Off863	13	0	76	14.8	
Carp_Off864	13	0	78	16.6	
Carp_Off865	13	0	71	12.2	
Carp_Off866	30	1	78	15.5	
Carp_Off867	30	1	70	13.7	
Carp_Off87	30	1	82	19.2	
Carp_Off872	5	0	71	12.6	
Carp_Off876	6	0	70	13.1	
Carp_Off877	9	0	72	13.8	
Carp_Off878	30	1	63	8.3	
Carp_Off879	17	0	68	11.3	
Carp_Off88	13	0	73	12	
Carp_Off883	11	0	79	16.8	
Carp_Off885	30	1	89	21.8	
Carp_Off889	9	0	82	18.9	
Carp_Off89	10	0	78	15.2	
Carp_Off893	17	0	82	18	
Carp_Off894	30	1	86	22.1	
Carp_Off898	10	0	62	10	
Carp_Off9	10	0	74	13.9	
Carp_Off90	16	0	86	23	
Carp_Off900	11	0	86	20.4	
Carp_Off902	13	0	82	19.4	
Carp_Off903	10	0	77	15.2	
Carp_Off907	10	0	75	14.6	
Carp_Off909	10	0	80	18.2	
Carp_Off91	17	0	72	12.2	
Carp_Off911	30	1	77	18.9	
Carp_Off914	14	0	77	16.8	
Carp_Off918	30	1	74	14.1	
Carp_Off92	8	0	74	14.5	
Carp_Off920	13	0	72	14.1	
Carp_Off921	9	0	81	18.4	
Carp_Off923	11	0	91	24.3	
Carp_Off924	30	1	73	12.7	
Carp_Off925	14	0	83	19	
Carp_Off926	11	0	75	15.1	
Carp_Off927	12	0	90	24.9	
Carp_Off928	13	0	66	11.2	
Carp_Off929	16	0	89	22.8	
Carp_Off93	11	0	76	14.9	
Carp_Off930	11	0	72	14.8	
Carp_Off931	19	0	82	19	
Carp_Off933	5	0	70	11.9	
Carp_Off935	30	1	77	16.3	
Carp_Off936	30	1	92	20.7	
Carp_Off937	11	0	77	16.6	
Carp_Off938	13	0	74	14.3	
Carp_Off939	30	1	77	13.9	
Carp_Off940	30	1	73	13.9	
Carp_Off941	14	0	92	26.9	
Carp_Off942	30	1	74	14.4	
Carp_Off944	13	0	83	19.5	
Carp_Off945	10	0	87	23	
Carp_Off946	30	1	77	15.7	
Carp_Off947	18	0	74	15.4	
Carp_Off948	14	0	78	17	
Carp_Off949	30	1	75	13.3	
Carp_Off95	11	0	74	12.9	
Carp_Off951	10	0	65	11	
Carp_Off952	30	1	70	11.9	
Carp_Off955	30	1	66	11	
Carp_Off956	13	0	72	14.3	
Carp_Off958	30	1	77	16.8	
Carp_Off960	30	1	76	14.9	
Carp_Off961	10	0	74	14.7	
Carp_Off962	19	0	74	15.8	
Carp_Off964	14	0	73	13.1	
Carp_Off965	30	1	78	16.3	
Carp_Off966	30	1	76	15.2	
Carp_Off967	23	0	85	20.8	
Carp_Off968	30	1	80	18.1	
Carp_Off969	30	1	72	13.9	
Carp_Off970	16	0	69	12.1	
Carp_Off971	13	0	80	17.8	
Carp_Off972	17	0	75	15.7	
Carp_Off973	14	0	70	13.6	
Carp_Off974	30	1	72	13.5	
Carp_Off976	13	0	70	13.9	
Carp_Off977	16	0	69	12.2	
Carp_Off979	30	1	64	10.5	
Carp_Off98	13	0	80	16.3	
Carp_Off980	16	0	65	10.5	
Carp_Off981	11	0	70	12.7	
Carp_Off982	30	1	85	20.2	
Carp_Off983	30	1	121	62.4	
Carp_Off984	13	0	74	14.3	
Carp_Off985	30	1	89	23.6	
Carp_Off986	10	0	80	17.9	
Carp_Off987	30	1	103	36.5	
Carp_Off988	2	0	82	14.8	
Carp_Off989	7	0	82	19.7	
Carp_Off990	13	0	77	16.8	
Carp_Off991	11	0	92	26	
Carp_Off992	30	1	79	15.9	
Carp_Off993	30	1	83	17.8	
Carp_Off996	20	0	78	17.6	
Carp_Off997	30	1	85	16.9	
Carp_Off998	20	0	77	14.9	
Carp_Off999	30	1	83	17.9	
