Id	days	survival	SL	Weight
Carp_Off1170	15	0	83	20.1	
Carp_Off1171	10	0	70	13.9	
Carp_Off1172	30	1	74	14.5	
Carp_Off1173	9	0	85	22.5	
Carp_Off1174	30	1	78	16.8	
Carp_Off1175	5	0	75	16.7	
Carp_Off1176	10	0	75	15.2	
Carp_Off1177	30	1	75	13.3	
Carp_Off1179	30	1	79	15.6	
Carp_Off118	16	0	77	17.6	
Carp_Off1180	15	0	77	16.2	
Carp_Off1181	30	1	81	19.5	
Carp_Off1182	8	0	79	17	
Carp_Off1183	5	0	79	16.9	
Carp_Off1184	8	0	77	15.2	
Carp_Off1185	14	0	84	19.7	
Carp_Off1186	11	0	77	14.6	
Carp_Off1187	21	0	67	10.7	
Carp_Off1188	30	1	82	18.1	
Carp_Off1189	2	0	74	14.4	
Carp_Off119	30	1	80	17.9	
Carp_Off1190	14	0	75	14.2	
Carp_Off1192	2	0	73	14.4	
Carp_Off1193	30	1	71	11.1	
Carp_Off1194	8	0	67	9.8	
Carp_Off1195	30	1	77	15.2	
Carp_Off1196	11	0	74	15	
Carp_Off1197	13	0	73	14.4	
Carp_Off1198	6	0	69	11	
Carp_Off12	30	1	80	17.5	
Carp_Off1200	30	1	72	13.4	
Carp_Off1201	11	0	74	14.4	
Carp_Off1202	30	1	77	15.3	
Carp_Off1203	17	0	70	12.1	
Carp_Off1204	30	1	70	11.9	
Carp_Off1205	5	0	78	14.2	
Carp_Off1206	8	0	75	13.3	
Carp_Off1207	11	0	73	14.1	
Carp_Off1209	30	1	74	14.1	
Carp_Off121	16	0	66	10.9	
Carp_Off1210	7	0	70	13.1	
Carp_Off1211	15	0	74	13.9	
Carp_Off1212	15	0	70	11.5	
Carp_Off1213	30	1	74	13.1	
Carp_Off1214	30	1	69	10.1	
Carp_Off1215	30	1	76	13.3	
Carp_Off1216	3	0	98	33.5	
Carp_Off1217	15	0	73	15.5	
Carp_Off1218	8	0	77	16.8	
Carp_Off1219	30	1	83	20.4	
Carp_Off122	30	1	74	15.5	
Carp_Off1220	30	1	84	21.5	
Carp_Off1221	30	1	81	18.6	
Carp_Off1222	7	0	82	20.7	
Carp_Off1223	11	0	84	21.1	
Carp_Off1224	12	0	67	11.1	
Carp_Off1225	21	0	79	17.6	
Carp_Off1226	19	0	75	16.1	
Carp_Off1228	10	0	89	23.8	
Carp_Off1229	12	0	80	17.7	
Carp_Off123	14	0	77	17.2	
Carp_Off1231	9	0	80	18.3	
Carp_Off1232	30	1	89	25.3	
Carp_Off1233	30	1	82	16.6	
Carp_Off1234	30	1	70	11.1	
Carp_Off1235	9	0	82	19.4	
Carp_Off1236	30	1	74	15.1	
Carp_Off1237	14	0	74	13.5	
Carp_Off1238	18	0	80	16.7	
Carp_Off124	30	1	83	21.8	
Carp_Off1240	11	0	70	14.4	
Carp_Off1241	12	0	68	13.6	
Carp_Off1242	30	1	73	14.4	
Carp_Off1244	10	0	77	15.5	
Carp_Off1245	30	1	75	14.8	
Carp_Off1246	8	0	65	11.1	
Carp_Off1247	30	1	73	13.8	
Carp_Off1248	3	0	74	14.8	
Carp_Off1249	30	1	84	21	
Carp_Off1250	8	0	68	11.4	
Carp_Off1251	11	0	68	11.5	
Carp_Off1253	16	0	73	14.3	
Carp_Off1254	16	0	67	10.9	
Carp_Off1257	30	1	81	16.8	
Carp_Off1258	10	0	68	12.6	
Carp_Off1259	5	0	67	10.8	
Carp_Off126	30	1	70	13.3	
Carp_Off1261	5	0	79	15.1	
Carp_Off1262	10	0	74	14.4	
Carp_Off1263	30	1	65	9.5	
Carp_Off1264	11	0	72	13.3	
Carp_Off1265	30	1	70	12.2	
Carp_Off1266	11	0	77	17.1	
Carp_Off1267	30	1	70	13	
Carp_Off1268	13	0	80	18.8	
Carp_Off1269	8	0	77	16	
Carp_Off127	30	1	77	16.8	
Carp_Off1270	11	0	74	14.7	
Carp_Off1271	9	0	73	14.2	
Carp_Off1272	3	0	72	13.7	
Carp_Off1273	15	0	73	13.1	
Carp_Off1274	30	1	70	12.3	
Carp_Off1279	10	0	93	27.7	
Carp_Off1280	11	0	76	15.5	
Carp_Off1281	30	1	82	17.3	
Carp_Off1282	30	1	80	18.9	
Carp_Off1283	14	0	75	14.1	
Carp_Off1284	15	0	72	12.3	
Carp_Off1285	9	0	74	13.5	
Carp_Off1286	8	0	85	20.9	
Carp_Off1288	19	0	75	15.6	
Carp_Off1289	12	0	81	17.1	
Carp_Off129	14	0	73	15.4	
Carp_Off1290	17	0	75	14.7	
Carp_Off1291	10	0	72	12.7	
Carp_Off1292	13	0	81	16.4	
Carp_Off1293	14	0	74	14.3	
Carp_Off1294	14	0	70	12.1	
Carp_Off1295	30	1	84	19.7	
Carp_Off1296	30	1	79	16.4	
Carp_Off1297	14	0	77	14.2	
Carp_Off1298	11	0	72	13.5	
Carp_Off1299	5	0	72	13.7	
Carp_Off13	8	0	78	16.8	
Carp_Off1300	9	0	77	14.6	
Carp_Off1301	30	1	66	9.9	
Carp_Off1303	11	0	78	14.5	
Carp_Off1304	13	0	71	12.2	
Carp_Off1305	10	0	74	15.1	
Carp_Off1306	14	0	76	13.6	
Carp_Off1307	19	0	77	15.4	
Carp_Off1308	18	0	74	14.9	
Carp_Off131	11	0	76	15.7	
Carp_Off1310	13	0	77	14.3	
Carp_Off1311	12	0	69	11.1	
Carp_Off1312	15	0	68	11.9	
Carp_Off1313	30	1	69	10.7	
Carp_Off1314	30	1	91	26.5	
Carp_Off1316	13	0	76	16.1	
Carp_Off1317	4	0	70	12.4	
Carp_Off1318	12	0	104	37.5	
Carp_Off1319	30	1	81	17.5	
Carp_Off132	17	0	73	13.4	
Carp_Off1320	30	1	102	35	
Carp_Off1321	14	0	92	17.3	
Carp_Off1322	5	0	84	20.9	
Carp_Off1323	15	0	78	18.8	
Carp_Off1324	8	0	75	13.8	
Carp_Off1325	9	0	85	19.9	
Carp_Off1326	12	0	78	16.9	
Carp_Off1327	13	0	79	15.7	
Carp_Off1328	17	0	75	15	
Carp_Off1329	12	0	81	18.1	
Carp_Off133	15	0	68	13.1	
Carp_Off1330	30	1	85	21.4	
Carp_Off1332	14	0	76	15.5	
Carp_Off1334	13	0	69	12.2	
Carp_Off1335	8	0	77	15.9	
Carp_Off1336	16	0	75	15.7	
Carp_Off1337	13	0	82	24.5	
Carp_Off1338	12	0	77	15.5	
Carp_Off1339	14	0	71	13.7	
Carp_Off1340	16	0	66	10.2	
Carp_Off1341	18	0	84	21	
Carp_Off1342	18	0	74	13.3	
Carp_Off1343	12	0	87	19.3	
Carp_Off1344	10	0	78	17.7	
Carp_Off1346	14	0	84	18.3	
Carp_Off1347	13	0	78	15.9	
Carp_Off1349	17	0	78	16.3	
Carp_Off135	30	1	69	13	
Carp_Off1350	2	0	82	18.7	
Carp_Off1351	13	0	77	15.2	
Carp_Off1352	9	0	71	12.1	
Carp_Off1353	30	1	75	14.1	
Carp_Off1354	13	0	78	14.8	
Carp_Off1356	11	0	75	15.3	
Carp_Off1357	30	1	88	24	
Carp_Off1359	30	1	70	12.7	
Carp_Off136	16	0	71	14.7	
Carp_Off1360	30	1	76	15	
Carp_Off1361	8	0	77	17.5	
Carp_Off1362	12	0	70	12.6	
Carp_Off1364	9	0	79	17.2	
Carp_Off1365	9	0	68	12.3	
Carp_Off1366	1	0	79	17.8	
Carp_Off1368	15	0	73	14.1	
Carp_Off1369	14	0	70	12.7	
Carp_Off1370	13	0	83	16.7	
Carp_Off1372	30	1	68	11.3	
Carp_Off1374	30	1	69	12.6	
Carp_Off1375	30	1	68	11.2	
Carp_Off1376	12	0	64	9.3	
Carp_Off1377	18	0	64	9.5	
Carp_Off1378	9	0	97	30.1	
Carp_Off1379	12	0	70	12.3	
Carp_Off138	14	0	66	11.7	
Carp_Off1380	30	1	93	20	
Carp_Off1381	30	1	72	13.1	
Carp_Off1382	13	0	74	15.4	
Carp_Off1383	8	0	76	15.8	
Carp_Off1386	12	0	82	20.1	
Carp_Off1387	10	0	79	16.8	
Carp_Off1388	11	0	71	12.9	
Carp_Off1389	9	0	78	16.7	
Carp_Off139	7	0	70	13.8	
Carp_Off1391	16	0	73	14.3	
Carp_Off1392	30	1	75	14	
Carp_Off1393	11	0	87	23.6	
Carp_Off1394	14	0	74	12.3	
Carp_Off1396	11	0	78	16.5	
Carp_Off1397	9	0	79	16.8	
Carp_Off1398	30	1	78	15.8	
Carp_Off1399	10	0	73	12.2	
Carp_Off14	10	0	89	21.9	
Carp_Off1401	9	0	84	19.4	
Carp_Off1402	14	0	77	17.4	
Carp_Off1403	30	1	78	16.8	
Carp_Off1404	13	0	86	19.3	
Carp_Off1405	30	1	72	12.6	
Carp_Off1407	30	1	72	13	
Carp_Off1408	18	0	71	13.6	
Carp_Off141	30	1	75	15.8	
Carp_Off1418	18	0	71	13.7	
Carp_Off142	13	0	76	15.3	
Carp_Off1420	20	0	79	15.8	
Carp_Off1421	30	1	72	13.8	
Carp_Off1422	13	0	72	14.5	
Carp_Off1426	19	0	107	39.2	
Carp_Off1429	10	0	76	16.4	
Carp_Off143	14	0	79	21.3	
Carp_Off1430	16	0	79	15.8	
Carp_Off1431	12	0	77	16.5	
Carp_Off1432	14	0	79	18.2	
Carp_Off1433	30	1	70	12.5	
Carp_Off1435	10	0	75	15	
Carp_Off1436	10	0	84	22.2	
Carp_Off1437	13	0	81	21.6	
Carp_Off1439	13	0	75	15.6	
Carp_Off144	7	0	69	13.1	
Carp_Off1440	30	1	78	15	
Carp_Off1441	11	0	74	14.1	
Carp_Off1443	30	1	74	13.7	
Carp_Off1444	13	0	76	14.9	
Carp_Off1445	8	0	77	17.8	
Carp_Off1446	30	1	77	15.6	
Carp_Off1447	13	0	73	12.8	
Carp_Off1448	30	1	78	17.1	
Carp_Off1449	30	1	84	20.6	
Carp_Off145	7	0	73	14.1	
Carp_Off1450	16	0	76	13.3	
Carp_Off1452	30	1	81	17.9	
Carp_Off1453	30	1	82	17.7	
Carp_Off1454	8	0	76	14.4	
Carp_Off1456	18	0	81	15.9	
Carp_Off1457	15	0	82	18	
Carp_Off1458	4	0	73	14	
Carp_Off1459	12	0	74	15	
Carp_Off146	10	0	65	9.5	
Carp_Off1461	30	1	79	17.5	
Carp_Off1462	7	0	74	12.8	
Carp_Off1463	12	0	75	13.6	
Carp_Off1464	30	1	73	13.7	
Carp_Off1466	30	1	83	19.2	
Carp_Off1467	21	0	75	13.8	
Carp_Off1470	9	0	68	13	
Carp_Off1471	13	0	75	15.6	
Carp_Off1472	30	1	77	16.3	
Carp_Off1473	8	0	73	13.1	
Carp_Off1476	9	0	77	16.3	
Carp_Off1478	7	0	70	12.6	
Carp_Off1480	9	0	68	10.1	
Carp_Off1482	18	0	76	15.4	
Carp_Off1483	18	0	74	14.2	
Carp_Off1484	18	0	70	11.5	
Carp_Off1485	11	0	75	16	
Carp_Off1487	30	1	72	12.8	
Carp_Off1488	9	0	71	12.5	
Carp_Off1489	30	1	80	16.5	
Carp_Off1490	13	0	68	11.3	
Carp_Off1491	12	0	70	11	
Carp_Off1492	30	1	67	10.4	
Carp_Off1493	10	0	77	17.5	
Carp_Off1494	15	0	75	13.2	
Carp_Off1495	30	1	76	12.3	
Carp_Off1496	3	0	73	12.6	
Carp_Off1499	18	0	89	23.7	
Carp_Off15	10	0	76	15	
Carp_Off150	9	0	75	14.6	
Carp_Off1500	30	1	83	20.3	
Carp_Off1503	9	0	72	13.2	
Carp_Off1504	30	1	78	16	
Carp_Off1506	12	0	77	14.1	
Carp_Off1507	20	0	80	17	
Carp_Off1508	13	0	70	15.6	
Carp_Off151	9	0	72	13.6	
Carp_Off1510	16	0	74	14.2	
Carp_Off1511	30	1	74	14	
Carp_Off1512	13	0	72	12.6	
Carp_Off1513	30	1	70	12.4	
Carp_Off1516	12	0	77	16	
Carp_Off1517	30	1	74	13.7	
Carp_Off1518	9	0	71	13.3	
Carp_Off152	14	0	81	22.7	
Carp_Off1521	15	0	71	12.4	
Carp_Off1522	30	1	74	13.4	
Carp_Off1523	17	0	68	11.9	
Carp_Off1524	30	1	70	11.3	
Carp_Off1525	30	1	58	7.1	
Carp_Off1526	12	0	72	12.9	
Carp_Off1527	13	0	85	22	
Carp_Off1528	12	0	75	13.7	
Carp_Off1529	12	0	85	23	
Carp_Off153	13	0	76	18.8	
Carp_Off1530	30	1	73	16.5	
Carp_Off1531	11	0	81	19.6	
Carp_Off1532	13	0	75	15	
Carp_Off1533	13	0	81	19	
Carp_Off1534	19	0	80	17.7	
Carp_Off1535	30	1	80	18.5	
Carp_Off1536	13	0	79	16.6	
Carp_Off1537	10	0	74	12.9	
Carp_Off1538	12	0	88	20.8	
Carp_Off1539	18	0	85	21.4	
Carp_Off154	22	0	75	16.9	
Carp_Off1540	17	0	78	15.6	
Carp_Off1541	11	0	85	20.5	
Carp_Off1542	21	0	68	12.5	
Carp_Off1544	7	0	78	16.5	
Carp_Off1547	12	0	84	19	
Carp_Off1548	30	1	73	13.4	
Carp_Off1549	18	0	74	14.2	
Carp_Off155	12	0	80	21.3	
Carp_Off1550	6	0	71	11.7	
Carp_Off1551	17	0	79	16.7	
Carp_Off1552	30	1	75	14.2	
Carp_Off1553	30	1	69	12.9	
Carp_Off1554	11	0	78	16	
Carp_Off1555	14	0	77	17.2	
Carp_Off1556	13	0	78	17.5	
Carp_Off1557	17	0	70	12.1	
Carp_Off1558	9	0	78	17.5	
Carp_Off1559	14	0	89	23	
Carp_Off156	12	0	79	17.9	
Carp_Off1560	10	0	79	15.4	
Carp_Off1561	13	0	77	16.9	
Carp_Off1562	15	0	85	20	
Carp_Off1563	30	1	81	17.9	
Carp_Off1564	10	0	83	17.9	
Carp_Off1565	15	0	74	13.2	
Carp_Off1567	30	1	85	17.7	
Carp_Off1568	10	0	71	12.3	
Carp_Off1569	30	1	79	14.9	
Carp_Off1570	30	1	77	15.3	
Carp_Off1571	14	0	75	14.3	
Carp_Off1572	30	1	83	19.7	
Carp_Off1573	11	0	75	15.2	
Carp_Off1575	18	0	70	11.8	
Carp_Off1576	8	0	69	12.8	
Carp_Off1578	12	0	75	16.5	
Carp_Off1579	9	0	76	14.3	
Carp_Off1581	11	0	73	12.5	
Carp_Off1582	30	1	77	15	
Carp_Off1585	15	0	69	10.7	
Carp_Off1588	14	0	74	14	
Carp_Off1589	12	0	68	11.2	
Carp_Off1590	30	1	69	12.1	
Carp_Off1591	12	0	74	11.5	
Carp_Off1592	30	1	76	15.4	
Carp_Off1594	30	1	69	11.5	
Carp_Off1595	17	0	71	11.9	
Carp_Off1596	11	0	67	10.5	
Carp_Off1597	4	0	69	11.1	
Carp_Off1598	12	0	73	12.2	
Carp_Off1599	14	0	78	16.9	
Carp_Off1601	9	0	83	20.1	
Carp_Off1603	30	1	80	17.6	
Carp_Off1604	30	1	80	17	
Carp_Off1605	11	0	87	23.6	
Carp_Off1606	30	1	78	15.6	
Carp_Off1607	8	0	99	31	
Carp_Off1608	11	0	74	14.9	
Carp_Off1610	8	0	90	22.7	
Carp_Off1611	9	0	95	26	
Carp_Off1612	30	1	77	16.9	
Carp_Off1613	11	0	75	15.3	
Carp_Off1614	14	0	82	16.9	
Carp_Off1616	10	0	86	20.6	
Carp_Off1617	30	1	72	13.9	
Carp_Off1618	30	1	83	19.9	
Carp_Off1620	14	0	78	17	
Carp_Off1621	30	1	75	15.8	
Carp_Off1622	30	1	82	17.9	
Carp_Off1623	9	0	78	15.8	
Carp_Off1624	30	1	73	12.1	
Carp_Off1625	10	0	66	10.4	
Carp_Off1626	8	0	69	12.3	
Carp_Off1628	10	0	72	13.4	
Carp_Off1629	30	1	70	12	
Carp_Off163	14	0	75	14.9	
Carp_Off1630	30	1	82	16.8	
Carp_Off1631	9	0	72	12.6	
Carp_Off1632	30	1	75	13.2	
Carp_Off1633	13	0	68	11.5	
Carp_Off1634	30	1	69	11.6	
Carp_Off1635	30	1	70	12.1	
Carp_Off1638	30	1	71	12.5	
Carp_Off1639	30	1	77	16.1	
Carp_Off164	18	0	79	14.1	
Carp_Off1640	17	0	70	12.9	
Carp_Off1641	11	0	76	13.1	
Carp_Off1642	7	0	68	11.2	
Carp_Off1646	30	1	80	17.2	
Carp_Off1647	13	0	76	15.2	
Carp_Off1648	12	0	76	15	
Carp_Off165	5	0	75	16.7	
Carp_Off1656	30	1	82	18.9	
Carp_Off166	30	1	78	17.3	
Carp_Off1661	10	0	81	19.9	
Carp_Off1668	30	1	83	18.3	
Carp_Off167	30	1	77	15.6	
Carp_Off1672	30	1	78	14.8	
Carp_Off1674	12	0	77	15.7	
Carp_Off1677	8	0	79	16.4	
Carp_Off168	8	0	71	12.5	
Carp_Off1683	11	0	67	11.1	
Carp_Off1684	3	0	69	11.9	
Carp_Off1685	14	0	72	14.3	
Carp_Off1688	12	0	68	10.7	
Carp_Off169	12	0	92	25	
Carp_Off17	24	0	80	18.2	
Carp_Off170	13	0	70	17	
Carp_Off172	30	1	84	20.4	
Carp_Off173	9	0	79	18.1	
Carp_Off174	11	0	79	17.1	
Carp_Off175	30	1	79	18	
Carp_Off176	30	1	71	15.5	
Carp_Off177	30	1	70	13.1	
Carp_Off178	30	1	64	11.4	
Carp_Off179	30	1	69	12.3	
Carp_Off18	13	0	88	25.3	
Carp_Off180	30	1	73	17.6	
Carp_Off181	30	1	66	11.1	
Carp_Off182	30	1	68	15.6	
Carp_Off183	30	1	73	14.4	
Carp_Off184	15	0	80	22.2	
Carp_Off185	10	0	76	17.8	
Carp_Off186	10	0	75	15.4	
